=========================================================================
Supervised learning of the non-interacting case...
=========================================================================
cycles    fidelity      MSE           ||MSE gradient||    
609       0.98702       0.00020       0.00064             
610       0.98699       0.00020       0.00092             
611       0.98569       0.00021       0.00074             
612       0.98634       0.00020       0.00104             
613       0.98733       0.00020       0.00068             
614       0.98642       0.00021       0.00073             
615       0.98721       0.00019       0.00080             
616       0.98692       0.00020       0.00064             
617       0.98657       0.00020       0.00066             
618       0.98734       0.00019       0.00076             
619       0.98699       0.00020       0.00057             
620       0.98817       0.00018       0.00061             
621       0.98594       0.00021       0.00058             
622       0.98684       0.00020       0.00069             
623       0.98779       0.00019       0.00066             
624       0.98683       0.00019       0.00065             
625       0.98719       0.00019       0.00080             
626       0.98714       0.00019       0.00081             
627       0.98679       0.00020       0.00064             
628       0.98745       0.00019       0.00083             
629       0.98731       0.00019       0.00057             
630       0.98617       0.00020       0.00079             
631       0.98715       0.00019       0.00072             
632       0.98716       0.00019       0.00082             
633       0.98724       0.00019       0.00060             
634       0.98751       0.00019       0.00062             
635       0.98713       0.00019       0.00064             
636       0.98764       0.00018       0.00089             
637       0.98626       0.00020       0.00072             
638       0.98729       0.00019       0.00053             
639       0.98739       0.00018       0.00077             
640       0.98679       0.00019       0.00060             
641       0.98754       0.00018       0.00076             
642       0.98753       0.00018       0.00075             
643       0.98655       0.00019       0.00100             
644       0.98741       0.00018       0.00074             
645       0.98798       0.00018       0.00078             
646       0.98677       0.00019       0.00057             
647       0.98744       0.00018       0.00090             
648       0.98820       0.00017       0.00084             
649       0.98734       0.00018       0.00083             
650       0.98705       0.00019       0.00060             
651       0.98761       0.00018       0.00077             
652       0.98811       0.00018       0.00073             
653       0.98667       0.00019       0.00085             
654       0.98696       0.00019       0.00054             
655       0.98661       0.00019       0.00106             
656       0.98708       0.00018       0.00059             
657       0.98724       0.00018       0.00066             
658       0.98819       0.00017       0.00065             
659       0.98733       0.00018       0.00075             
660       0.98729       0.00018       0.00052             
661       0.98745       0.00018       0.00059             
662       0.98785       0.00017       0.00050             
663       0.98634       0.00019       0.00068             
664       0.98760       0.00018       0.00085             
665       0.98714       0.00018       0.00055             
666       0.98901       0.00016       0.00061             
667       0.98663       0.00018       0.00072             
668       0.98830       0.00017       0.00073             
669       0.98793       0.00017       0.00068             
670       0.98804       0.00017       0.00053             
671       0.98752       0.00017       0.00079             
672       0.98789       0.00017       0.00076             
673       0.98824       0.00017       0.00057             
674       0.98764       0.00017       0.00084             
675       0.98783       0.00017       0.00086             
676       0.98861       0.00016       0.00063             
677       0.98871       0.00016       0.00070             
678       0.98795       0.00017       0.00082             
679       0.98841       0.00017       0.00101             
680       0.98821       0.00017       0.00065             
681       0.98831       0.00017       0.00097             
682       0.98745       0.00017       0.00057             
683       0.98717       0.00018       0.00114             
684       0.98830       0.00016       0.00053             
685       0.98847       0.00016       0.00120             
686       0.98745       0.00017       0.00076             
687       0.98894       0.00016       0.00164             
688       0.98716       0.00017       0.00095             
689       0.98866       0.00016       0.00113             
690       0.98796       0.00017       0.00074             
691       0.98801       0.00017       0.00132             
692       0.98855       0.00016       0.00054             
693       0.98701       0.00018       0.00135             
694       0.98810       0.00016       0.00094             
695       0.98818       0.00016       0.00088             
696       0.98771       0.00017       0.00061             
697       0.98786       0.00016       0.00080             
698       0.98794       0.00017       0.00083             
699       0.98777       0.00016       0.00059             
700       0.98778       0.00016       0.00046             
701       0.98716       0.00017       0.00057             
702       0.98809       0.00016       0.00074             
703       0.98743       0.00017       0.00041             
704       0.98813       0.00016       0.00043             
705       0.98821       0.00016       0.00051             
706       0.98796       0.00016       0.00040             
707       0.98861       0.00015       0.00086             
708       0.98783       0.00016       0.00051             
709       0.98838       0.00016       0.00093             
710       0.98813       0.00016       0.00079             
711       0.98651       0.00017       0.00088             
712       0.98755       0.00016       0.00046             
713       0.98835       0.00016       0.00072             
714       0.98765       0.00016       0.00087             
715       0.98768       0.00016       0.00047             
716       0.98822       0.00016       0.00074             
717       0.98752       0.00016       0.00059             
718       0.98767       0.00016       0.00084             
719       0.98836       0.00016       0.00056             
720       0.98786       0.00016       0.00058             
721       0.98901       0.00015       0.00045             
722       0.98833       0.00015       0.00119             
723       0.98888       0.00015       0.00035             
724       0.98824       0.00016       0.00136             
725       0.98774       0.00016       0.00071             
726       0.98860       0.00015       0.00113             
727       0.98722       0.00017       0.00075             
728       0.98898       0.00015       0.00055             
729       0.98864       0.00015       0.00072             
730       0.98932       0.00015       0.00067             
731       0.98875       0.00015       0.00053             
732       0.98798       0.00016       0.00078             
733       0.98810       0.00016       0.00140             
734       0.98749       0.00016       0.00048             
735       0.98774       0.00016       0.00112             
736       0.98929       0.00015       0.00050             
737       0.98851       0.00015       0.00133             
738       0.98884       0.00015       0.00065             
739       0.98786       0.00016       0.00120             
740       0.98779       0.00016       0.00106             
741       0.98778       0.00015       0.00123             
742       0.98841       0.00015       0.00098             
743       0.98824       0.00015       0.00088             
744       0.98845       0.00015       0.00110             
745       0.98817       0.00015       0.00074             
746       0.98919       0.00014       0.00056             
747       0.98930       0.00014       0.00067             
748       0.98897       0.00015       0.00041             
749       0.98970       0.00014       0.00086             
750       0.98829       0.00015       0.00096             
751       0.98864       0.00015       0.00045             
752       0.98844       0.00015       0.00048             
753       0.98809       0.00015       0.00048             
754       0.98883       0.00014       0.00035             
755       0.98879       0.00015       0.00067             
756       0.98962       0.00014       0.00054             
757       0.98749       0.00016       0.00043             
758       0.98909       0.00014       0.00050             
759       0.98844       0.00015       0.00040             
760       0.98923       0.00014       0.00061             
761       0.98896       0.00015       0.00059             
762       0.98843       0.00015       0.00045             
