# cycles  fidelity      MSE           ||MSE gradient||    
519       0.98650304    0.00022123    0.00087856          
520       0.98707319    0.00021767    0.00068501          
521       0.98631018    0.00022466    0.00080162          
522       0.98553045    0.00023002    0.00081111          
523       0.98599006    0.00022660    0.00064448          
524       0.98685746    0.00021336    0.00068143          
525       0.98653150    0.00021619    0.00061634          
526       0.98665753    0.00021459    0.00068689          
527       0.98592100    0.00022315    0.00065733          
528       0.98610755    0.00022281    0.00078444          
529       0.98786868    0.00020065    0.00067120          
530       0.98680195    0.00021191    0.00069109          
531       0.98657667    0.00021529    0.00074996          
532       0.98721163    0.00020517    0.00077914          
533       0.98615199    0.00021707    0.00102191          
534       0.98574750    0.00022159    0.00068978          
535       0.98637667    0.00021154    0.00073362          
536       0.98646760    0.00021021    0.00091793          
537       0.98769730    0.00019781    0.00094573          
538       0.98729719    0.00020047    0.00085690          
539       0.98730846    0.00020159    0.00069974          
540       0.98663788    0.00020952    0.00063101          
541       0.98659345    0.00020669    0.00102232          
542       0.98682767    0.00020234    0.00062910          
543       0.98600514    0.00021295    0.00088043          
544       0.98721980    0.00019871    0.00095188          
545       0.98627846    0.00021099    0.00081550          
546       0.98599874    0.00021514    0.00084065          
547       0.98651916    0.00020457    0.00083724          
548       0.98616479    0.00021025    0.00069276          
549       0.98746630    0.00019174    0.00112621          
550       0.98745444    0.00019218    0.00072618          
551       0.98669100    0.00020166    0.00072365          
552       0.98581637    0.00021047    0.00092576          
553       0.98780235    0.00019107    0.00124174          
554       0.98626951    0.00020000    0.00094398          
555       0.98627741    0.00020339    0.00111216          
556       0.98696461    0.00019668    0.00078594          
557       0.98797375    0.00018933    0.00109988          
558       0.98668726    0.00019966    0.00069302          
559       0.98742756    0.00019263    0.00104568          
560       0.98663861    0.00020127    0.00087184          
561       0.98575208    0.00020842    0.00123733          
562       0.98680036    0.00019339    0.00101753          
563       0.98668586    0.00019514    0.00109601          
564       0.98665049    0.00019618    0.00061711          
565       0.98738186    0.00019281    0.00124705          
566       0.98647341    0.00019777    0.00093626          
567       0.98695512    0.00019089    0.00075490          
568       0.98675355    0.00019563    0.00089843          
569       0.98684551    0.00019119    0.00061162          
570       0.98712395    0.00019113    0.00063506          
571       0.98702630    0.00018835    0.00077740          
572       0.98741237    0.00018525    0.00062179          
573       0.98737217    0.00018543    0.00059890          
574       0.98694430    0.00019110    0.00058530          
575       0.98771504    0.00018239    0.00078220          
576       0.98709178    0.00018869    0.00058491          
577       0.98698543    0.00019056    0.00086374          
