# cycles  fidelity            EL avg              EL var              ||EL gradient||     ratio accepted samples
299       0.72441             0.00000             0.00000             0.00000             1.0                 
300       0.79235             0.00000             0.00000             0.00000             1.0                 
301       0.82782             0.00000             0.00000             0.00000             1.0                 
302       0.57266             0.00000             0.00000             0.00000             1.0                 
303       0.67463             0.00000             0.00000             0.00000             1.0                 
304       0.70304             0.00000             0.00000             0.00000             1.0                 
305       0.68002             0.00000             0.00000             0.00000             1.0                 
306       0.77845             0.00000             0.00000             0.00000             1.0                 
307       0.64754             0.00000             0.00000             0.00000             1.0                 
308       0.62120             0.00000             0.00000             0.00000             1.0                 
309       0.74312             0.00000             0.00000             0.00000             1.0                 
310       0.72565             0.00000             0.00000             0.00000             0.99975             
311       0.61373             0.00000             0.00000             0.00000             1.0                 
312       0.64561             0.00000             0.00000             0.00000             1.0                 
313       0.83918             0.00000             0.00000             0.00000             1.0                 
314       0.73705             0.00000             0.00000             0.00000             1.0                 
315       0.77540             0.00000             0.00000             0.00000             1.0                 
316       0.68762             0.00000             0.00000             0.00000             1.0                 
317       0.58227             0.00000             0.00000             0.00000             1.0                 
318       0.91631             0.00000             0.00000             0.00000             1.0                 
319       0.68033             0.00000             0.00000             0.00000             1.0                 
320       0.60240             0.00000             0.00000             0.00000             1.0                 
321       0.76583             0.00000             0.00000             0.00000             1.0                 
322       0.66064             0.00000             0.00000             0.00000             1.0                 
323       0.51119             0.00000             0.00000             0.00000             1.0                 
324       0.72047             0.00000             0.00000             0.00000             1.0                 
325       0.55471             0.00000             0.00000             0.00000             1.0                 
326       0.71738             0.00000             0.00000             0.00000             1.0                 
327       0.73349             0.00000             0.00000             0.00000             1.0                 
328       0.70044             0.00000             0.00000             0.00000             1.0                 
329       0.74697             0.00000             0.00000             0.00000             1.0                 
330       0.68320             0.00000             0.00000             0.00000             1.0                 
331       0.62164             0.00000             0.00000             0.00000             1.0                 
332       0.68310             0.00000             0.00000             0.00000             1.0                 
333       0.63661             0.00000             0.00000             0.00000             1.0                 
334       0.62787             0.00000             0.00000             0.00000             1.0                 
335       0.76061             0.00000             0.00000             0.00000             1.0                 
336       0.59770             0.00000             0.00000             0.00000             1.0                 
337       0.56679             0.00000             0.00000             0.00000             1.0                 
338       0.76158             0.00000             0.00000             0.00000             1.0                 
339       0.56676             0.00000             0.00000             0.00000             1.0                 
340       0.75040             0.00000             0.00000             0.00000             1.0                 
341       0.80941             0.00000             0.00000             0.00000             1.0                 
342       0.69651             0.00000             0.00000             0.00000             1.0                 
343       0.71425             0.00000             0.00000             0.00000             1.0                 
344       0.72733             0.00000             0.00000             0.00000             1.0                 
345       0.70298             0.00000             0.00000             0.00000             1.0                 
346       0.72471             0.00000             0.00000             0.00000             1.0                 
347       0.68769             0.00000             0.00000             0.00000             1.0                 
348       0.76631             0.00000             0.00000             0.00000             1.0                 
349       0.55197             0.00000             0.00000             0.00000             1.0                 
350       0.74867             0.00000             0.00000             0.00000             1.0                 
351       0.76218             0.00000             0.00000             0.00000             1.0                 
352       0.59730             0.00000             0.00000             0.00000             1.0                 
353       0.72995             0.00000             0.00000             0.00000             1.0                 
354       0.68917             0.00000             0.00000             0.00000             1.0                 
355       0.77545             0.00000             0.00000             0.00000             1.0                 
356       0.70833             0.00000             0.00000             0.00000             1.0                 
357       0.56203             0.00000             0.00000             0.00000             1.0                 
358       0.63290             0.00000             0.00000             0.00000             1.0                 
359       0.63902             0.00000             0.00000             0.00000             1.0                 
360       0.74232             0.00000             0.00000             0.00000             1.0                 
361       0.55780             0.00000             0.00000             0.00000             0.999875            
362       0.66874             0.00000             0.00000             0.00000             1.0                 
363       0.68345             0.00000             0.00000             0.00000             1.0                 
364       0.65899             0.00000             0.00000             0.00000             1.0                 
365       0.74616             0.00000             0.00000             0.00000             1.0                 
366       0.57537             0.00000             0.00000             0.00000             1.0                 
367       0.65378             0.00000             0.00000             0.00000             1.0                 
368       0.81038             0.00000             0.00000             0.00000             1.0                 
369       0.67628             0.00000             0.00000             0.00000             1.0                 
370       0.72262             0.00000             0.00000             0.00000             1.0                 
371       0.63518             0.00000             0.00000             0.00000             1.0                 
